株式会社サンリオ,[[1968年]]（[[昭和]]43年）の都市交通審議会答申第10号において、'''東京7号線'''は、「'''[[目黒(東京都)目黒]]方面より[[麻布飯倉片町]]、[[永田町]]、[[市ケ谷]]、[[駒込]]及び[[王子(東京都北区)王子]]の各方面を経て[[赤羽]]方面に至る路線'''」として示された。[[1972年]]（昭和47年）の答申第15号では、将来の検討対象とされていた[[埼玉県埼玉方面]]への延伸区間が'''[[川口市]]中央部'''…'''[[浦和市]]東部'''間と改められた。その後[[1985年]]（昭和60年）の[[運輸政策審議会答申第7号]]では、目黒-清正公前（現：[[白金高輪駅]]）間を[[都営地下鉄三田線都営三田線]]と共用するものとされ、また埼玉県内は[[鳩ヶ谷駅鳩ヶ谷市中央]]経由で[[東川口駅東川口]]から浦和市東部へと変更された。このうち、目黒-赤羽岩淵間が南北線として順次開業しており、また赤羽岩淵-[[浦和美園駅浦和美園]]間は[[埼玉高速鉄道線]]として開業している。7号という路線番号が示すように、計画そのものは[[1960年代]]になされていたが、着工は大幅に遅れ、[[1991年]]（[[平成]]3年）に部分開業、[[2000年]]（平成12年）に全線開業した。後発路線のため、全体的に地中深い駅が多いのが特徴である。当初の建設計画では第1期工事区間を[[駒込駅駒込]]-赤羽岩淵間、第2期工事区間を目黒-駒込間としていたが、第2期工事区間を[[溜池山王駅溜池山王]]-駒込間（その1）、目黒-溜池山王間（その2）に分割したため、実際は3区間に分けて建設された。第1期区間は順調に建設がされたが、第2期区間は[[埋蔵文化財]]の発掘や[[住民]]の反対運動で建設は遅れ、当初の全線開業予定の[[1995年]]（平成7年）9月から2000年（平成12年）9月へと大きく延期されることとなった&lt;refname&quot;Namboku&quot;&gt;帝都高速交通営団「東京地下鉄道南北線建設史」参照。&lt;/ref&gt;。また、第2期開業にあたっては駒込駅-溜池山王駅までを一気に開業させる予定であった。しかし、[[東京メトロ銀座線銀座線]]の新駅設置工事や[[東京メトロ丸ノ内線丸ノ内線]]・[[東京メトロ千代田線千代田線]]の既設路線交差部において難工事となったため、工期に時間を要することとなった。本路線の建設費用は総額5604億円である。内訳は土木関係費が4136億4517万9000円、電気関係費が590億8743万6000円、車両関係費が302億4814万円、その他が574億1924万5000円となっている。本路線の路線名称は[[帝都高速度交通営団営団地下鉄]]職員より社内公募を行ったもので、応募は3830通（341線名）があった。選考の結果、「南北線」が1741通と約半数を占め、また本路線が地理上から、ほぼ南北に貫通していること、[[東京メトロ東西線東西線]]に対比して南北方向の路線として最もふさわしい路線名称であることから「南北線」という路線名称が選ばれた&lt;!--南北線建設史参照。--&gt;。飯田橋駅-永田町駅間では有楽町線と並行しているが、有楽町線が麹町経由であるのに対して南北線は四ツ谷経由であることが異なっている。
株式会社メディセオ,実際に料金が必要とされるのは[[大垣市]]と[[安八町]]を結ぶ大垣大橋と[[羽島市]]と安八町を結ぶ羽島大橋をわたるときのみで、安八町内のみを通る場合、料金所を通らないため料金は不要。料金所は大垣大橋、羽島大橋とも東詰に設置されていた。[[1963年]]（昭和38年）[[3月30日]]に供用し{{Sfn日本道路公団1986p840}}、[[1980年]]（昭和55年）[[10月31日]]に無料開放された{{Sfn日本道路公団1986p868}}。
白銅株式会社,{{出典の明記date2018年7月section1}}連絡線は駅構内の[[分岐器#形状による分類渡り線]]のような小規模なものから、[[デルタ線]]の一辺となっているもの、独立した路線となっているものまで、形態や規模はさまざまである。しかし連絡線自体が主要な路線に位置づけされることは少ない。また、連絡線として建設されたが、その後の運行系統の変化などによって連絡線とは呼ばれなくなるケースもある。[[南海電気鉄道]]の[[岸里玉出駅]]における[[南海本線]]と[[南海高野線高野線]]の間の線路（当初は「東連絡線」という通称があった）はその典型である。なお、接続先の路線が[[軌間]]や[[鉄道の電化電気方式]]、[[自動列車保安装置保安方式]]の違いなどにより直通できない場合でも連絡線と呼ばれることがある。[[上飯田連絡線]]や[[三岐鉄道]]の近鉄連絡線、[[阪急電鉄]]が計画している[[阪急新大阪連絡線]]や[[西梅田・十三連絡線]]、[[なにわ筋連絡線]]&lt;refname&quot;mlit-20180411&quot;&gt;{{CiteWeburlhttp://www.mlit.go.jp/common/001231160.pdfformatpdfdate2018-04-11archiveurlhttps://web.archive.org/web/20190203123209/http://www.mlit.go.jp/common/001231160.pdfarchivedate2019-02-03title近畿圏における空港アクセス鉄道ネットワークに関する調査author[[国土交通省]]鉄道局都市鉄道政策課accessdate2019-02-03}}&lt;/ref&gt;などが該当する。
株式会社タカショー,タカショーは現在の社長である[[高岡伸夫]]が[[大阪経済大学]]時代の仲間4人と共に設立&lt;ref&gt;[http://j-net21.smrj.go.jp/establish/sougyou/entry/975/20101004.html闘い続ける経営者たち日本人はもっと自らの文化や歴史に自信を持つべきだ株式会社タカショー代表取締役高岡伸夫02.他社がしないことを手掛ける]中小企業ビジネス支援サイトJ-Net21（[[独立行政法人]][[中小企業基盤整備機構]]）2011年7月31日閲覧。&lt;/ref&gt;。日本の[[ガーデニング]]素材を世界に発信する&lt;ref&gt;[http://j-net21.smrj.go.jp/establish/sougyou/entry/975/20101001.html闘い続ける経営者たち日本人はもっと自らの文化や歴史に自信を持つべきだ株式会社タカショー代表取締役高岡伸夫01.ガーデニング業界のリーディングカンパニーとして]中小企業ビジネス支援サイトJ-Net21（独立行政法人中小企業基盤整備機構）2011年7月31日閲覧。&lt;/ref&gt;[[ベンチャー企業]]である。
株式会社アトル,
ナカノ薬品株式会社,上代（[[奈良時代]]以前）に使われた語法であるが、後世にも[[漢文]]訓読において「恐るらくは」（上二段ないし下二段活用動詞「恐る」のク語法、またより古くから存在する四段活用動詞「恐る」のク語法は「恐らく」）、「願はく」（四段活用動詞「願ふ」）、「曰く」（いはく、のたまはく）、「すべからく」（須、「すべきことは」の意味）などの形で、多くは[[副詞]]的に用いられ、現代語においてもこのほかに「思わく」（「思惑」は当て字であり、熟語ではない）、「体たらく」、「老いらく」（上二段活用動詞「老ゆ」のク語法「老ゆらく」の転）などが残っている。
クニミ薬品株式会社,*本社：〒779-3602徳島県美馬郡脇町大字猪尻字西分13*設立：[[1946年]]（[[昭和]]21年）[[7月15日]]
株式会社りゅうせき,[[1950年]]（昭和25年）[[9月6日]]に、アメリカの石油会社カルテックス社（現在の[[シェブロン]]）と地元の[[実業家]]の[[稲嶺一郎]]によって、'''琉球石油株式会社'''が設立された。当時カルテックス社は沖縄における石油の輸入を独占的に取り扱っており、琉球石油も唯一の石油会社として業績を伸ばした。復帰後は石油販売が自由化されたため、[[新日本石油日本石油株式会社]]（現在の[[JXTGエネルギーJXTGエネルギー株式会社]]）と提携関係を結び、また石油関係事業以外の業種にも進出するなど多角的経営を図った。2013年3月期の売上構成は石油部門87%、ガス部門8%、IT事業2%、ホテル飲食事業・賃貸業3%となっている。前沖縄県知事の[[稲嶺恵一]]や現沖縄県経営者協会会長の知念榮治、元沖縄県副知事の安里カツ子を輩出している。前沖縄県知事[[稲嶺恵一]]は稲嶺一郎の子で、社長と会長を歴任した。[[1991年]]（平成3年）11月に商号を'''株式会社りゅうせき'''に改めた。[[2001年]]（平成13年）3月に子会社の株式会社エネライン、株式会社りゅうせき燃料、株式会社コア燃料を、新たな子会社・株式会社りゅうせきエネルギーに統合合併した。[[2004年]]（平成16年）3月に子会社の琉球ガス株式会社、沖縄プロパンガス株式会社を、新たな子会社・株式会社りゅうせきエネプロに統合合併した。[[2005年]]（平成17年）に[[環境省]]の委託を受け、[[沖縄製糖]]と協力し沖縄県[[宮古島市]]にある沖縄製糖宮古工場にプラントを建設。[[サトウキビ]]から[[製糖]]後に排出される廃糖みつから自動車用[[エタノール]]燃料を生成し、ガソリンに3％混合させた燃料「E3」製造の試験事業を行った。[[2011年]]（平成23年）5月、塗料・建築資材卸小売業の株式会社日亜商事が、新たにグループへ加わった。
シーエス薬品株式会社,*代表取締役会長荒川長太郎*代表取締役社長荒川勘五郎*代表取締役副社長荒川慎太郎*資本金18180万円
弘和薬品株式会社,*本社：〒771-0132徳島県徳島市川内町平石夷野224*代表取締役社長：岡内弘三*設立：[[1971年]]（[[昭和]]46年）[[4月5日]]*資本金：4630万円
株式会社琉薬,本級はローリー級に次いで建造されたドック型輸送揚陸艦であり、いくつかの資料では次のクリーヴランド級、[[トレントン級ドック型輸送揚陸艦トレントン級]]を同一の艦級として分類している。ドック型揚陸艦よりも貨物輸送能力を重視し、艦尾の[[ウェルドック]]部を縮小し貨物積載スペースを確保している。本級はローリー級の大幅な拡大型であり、幅は変わらず、ドック部の大きさもおなじであるものの、全長は15m延長された。艦の概要は変わらず、前部に艦橋構造物があり、後部には[[飛行甲板#ヘリコプター甲板ヘリコプター甲板]]がある。「オースティン」には[[ヘリコプター]]の格納庫はないが、「オグデン」と「ダルース」には、伸縮式の格納庫が設置された。このほか、右舷に揚陸作業用クレーンを要している。新造時は艦橋前方に自衛用として[[Mk333インチ砲3インチ連装砲]]2基を有していたが、後に撤去され、[[CIWS]]に更新された。3隻とも2005年から2007年にかけて退役した。
株式会社ケーエスケー,*[[埼玉県立川越女子高等学校]]を経て[[セツ・モードセミナー]]卒業。明るくポップで親しみやすい作風で、数多くの書籍・雑誌・広告・グッズなどのイラストレーションを手がける。東京イラストレーターズソサエティ会員。*[[ザ・ビートルズ]]ファンでの高校時代にさぼって7月2日の昼と夜の[[日本武道館]]公演へ見に行ったことがあり、この公園で成年と知り合ったのをきっかけに結婚した&lt;ref&gt;[https://tvtopic.goo.ne.jp/program/nhk/57390/966732/goo番組（アナザーストリーズ運命の分岐点）]&lt;/ref&gt;&lt;ref&gt;[http://www.yunioshi.com/beatlesinjapan.htmlビートルズ来日パート1]&lt;/ref&gt;。
鍋林株式会社,[[ヌーディズム]]の[[キャンプ場]]などでは、[[イベント]]の1つとしても行われることがあり、[[コンテスト]]の様を成していることもある。[[2003年]]から毎年、[[欧米]]をはじめ現在20ヶ国・70都市と、世界各地で開催されている『ワールド・ネイキッド・バイク・ライド』（WorldNakedBikeRide）で、ボディペインティングを施して参加する人もいる。
セトヤ薬品株式会社,*本社：〒770-0941徳島県徳島市万代町5*代表取締役社長：多田通六*設立：[[1916年]]（[[大正]]5年）[[9月]]*資本金：980万円
九州東邦株式会社,*医療用医薬品を中心とした関連商品の販売・動物薬・水産薬・飼料・防疫剤・ワクチン・医療用高圧ガス・医療用酸素・介護用品等の販売・レンタル・居宅介護支援事業・その他健康関連商品の販売を行っている。
オオモリ薬品株式会社,[[日本海]]に[[天然ガス]]の自社鉱区を所有し、[[過酸化水素]]、[[キシレン]]誘導品、[[アンモニア]]誘導品、[[エンジニアリングプラスチック]]などの化学品を生産しているほか、[[サウジアラビア]]や[[ベネズエラ]]など海外で、[[メタノール]]を合弁方式によって生産している。また、鉄が錆びるときに[[酸素]]を吸収する原理を応用した[[脱酸素剤]]『エージレス&amp;reg;』を世界に先駆けて商品化したことで知られる。これは食品の鮮度保持などに広く用いられている。エンジニアリングプラスチックでは、5大汎用エンプラのうち4種を自社開発技術で製造している。[[DVD]]や[[CD]]等の材料となる[[ポリカーボネート]]では世界トップシェア、自動車のギアやカムなどの材料となる[[ポリアセタール]]、家電やOA機器の主要パーツとなる[[ポリフェニレンエーテル]]などである&lt;ref&gt;http://www.mgc.co.jp/employ/fields/gousei.html&lt;/ref&gt;。[[2015年]]3月期の連結売上の内訳は、[[メタノール]]や[[MMA]]など[[天然ガス]]系化学品が約1976億円、[[メタキシリレンジアミン]][[誘導体]]など[[芳香族]]化学品が1233億円、[[過酸化水素]]や[[ポリカーボネート]]など機能化学品が約1660億円、[[プリント基板]]用材料や[[脱酸素剤]]『エージレス&amp;reg;』など特殊機能材が約582億円となっている。
株式会社スズケン沖縄,*沖縄県の主として医科向医薬品卸業は、昭和10年頃は「[[南陽薬品]]株式会社」（代表取締役・金城保吉）、「[[沖縄薬品沖縄薬品貿易]]株式会社」（代表取締役・宮城普喜）、[[那覇薬品]]株式会社（代表取締役・尾花仲次）の3社で一般用医薬品卸業は、「我喜屋本店」・「野村広貫堂」・「宇地原薬店」などがあった。*昭和15年、戦時体制に入り「[[日本医薬品配給統制沖縄県医薬品衛生材料配給統制株式会社]]」設立し、代表取締役に「南陽薬品株式会社」の金城保吉が就任する。代表取締役専務には野村安次（野村広貫堂・代表取締役）が就任。終戦後沖縄本島はアメリカに併合される、25年まで民間企業の業務再開は許されなかった。昭和26年、医薬品の取り扱いが民間に移行した時点で、アメリカ本土となった沖縄は、日本本土の医薬品卸業社は違って日本の企業からの輸入はもちろんアメリカ企業からの直接輸入も許可される（現在も日本国内の医薬品卸業社は、日本国内に代理店がない他国の製薬企業との直接取引は許されない）*戦後「[[光南薬品]]株式会社」「[[琉薬琉球薬品]]株式会社」「[[琉薬琉薬販売]]株式会社」「合資会社アメリカン・ドラッグ・カンパニーリカルド・エム・スンガー」「生盛堂薬局」「第一薬局」「上原薬品商会」「仲座薬局」「平岡薬局」「吉田薬局」「厚和薬局」「丸善製薬研究所」「丸生薬局」「開南薬局」「ヒガ薬局」「中央薬品合資会社」「沖縄新薬」「北薬品」「沖縄畜産薬品」「三和薬品」「合名会社川田厚生堂」「長嶺薬局」「富原薬局」「オリオン薬品株式会社」「マキノ薬品」などが輸入商として加盟している。*昭和41年1月28日医薬品の輸入販売業者19社により「沖縄薬業輸入協会」設立し会長に前原信明・副会長に長嶺義仁を選出。*「沖縄薬業輸入協会」は琉球政府に協力し、会員相互の親密を保ち、優良な医薬品の輸入を計り以て住民の福祉衛生の向上に寄与する目的で設立されたものであった。日本医薬品卸連合会に準会員として加盟していた。昭和47年5月15日本土復帰に伴い、他府県同様正会員となる。*昭和52年4月の加盟企業は「沖縄全薬販売株式会社」「オキチク商亊株式会社」「沖縄明治製薬株式会社」「沖縄薬品株式会社」「共立薬品株式会社」「[[ダイコー沖縄コーヨー薬品]]株式会社」「株式会社スズケン沖縄」「有限会社大和薬品」「中山薬品」「はと薬品株式会社」「山善薬品株式会社」「株式会社流薬」「若松薬品」「合資会社[[サミット商事]]」
